participant,exp,task,item,status,TextGridLabel,duration,sex
p03,carrier,2,tullito,hit,j,60.67,m
p03,carrier,2,tullito,hit,i,96.31,m
p03,carrier,2,tuya,hit,j,60.91,m
p03,carrier,2,tuya,hit,a,87.84,m
p03,carrier,2,tuyo,hit,j,39.91,m
p03,carrier,2,tuyo,hit,o,92.11,m
p03,carrier,2,valle,hit,j,53.2,m
p03,carrier,2,valle,hit,e,128.05,m
p03,carrier,2,vello,hit,j,55.79,m
p03,carrier,2,vello,hit,o,81.62,m
p03,carrier,2,velludo,hit,j,63.93,m
p03,carrier,2,velludo,hit,u,98.33,m
p03,carrier,2,video,hit,e,129.19,m
p03,carrier,2,video,hit,o,146.69,m
p04,carrier,1,chiaba,hit,i,65.69,m
p04,carrier,1,chiaba,hit,a,66.37,m
p04,carrier,1,costonhialo,hit,i,69.73,m
p04,carrier,1,costonhialo,hit,a,86.55,m
p04,carrier,1,crobo,hit,o,115.25,m
p04,carrier,1,falubiko,hit,i,82.58,m
p04,carrier,1,faluduako,hit,u,60.24,m
p04,carrier,1,faluduako,hit,a,66.93,m
p04,carrier,1,falufialo,hit,i,39.71,m
p04,carrier,1,falufialo,hit,a,74.19,m
p04,carrier,1,faluguato,hit,u,69.98,m
p04,carrier,1,faluguato,hit,a,81.77,m
p04,carrier,1,falukiago,hit,i,38.98,m
p04,carrier,1,falukiago,hit,a,101.26,m
p04,carrier,1,falupiro,hit,i,63.14,m
p04,carrier,1,falutarlo,hit,a,170.96,m
p04,carrier,1,falutraigo,hit,a,63.81,m
p04,carrier,1,falutraigo,hit,i,52.62,m
p04,carrier,1,farloto,hit,o,60.54,m
p04,carrier,1,flauro,hit,a,73.29,m
p04,carrier,1,flauro,hit,u,57.42,m
p04,carrier,1,lakabiaisto,hit,i,42.75,m
p04,carrier,1,lakabiaisto,hit,a,79.04,m
p04,carrier,1,lakabiaisto,hit,i,59.15,m
p04,carrier,1,lakabuaisto,hit,u,85.93,m
p04,carrier,1,lakabuaisto,hit,a,94.39,m
p04,carrier,1,lakabuaisto,hit,i,70.04,m
p04,carrier,1,lakadiaisto,hit,i,64.8,m
p04,carrier,1,lakadiaisto,hit,a,107.75,m
