prefix,syll1Lab,syll1Dur,syll2Lab,syll2Dur,syll3Lab,syll3Dur,syll4Lab,syll4Dur,syll5Lab,syll5Dur,critOnsetLab,critOnsetDur,labID
p07_syllable_1_falotro_hit,fa,0.46,lo,0.4,tro,0.34,NA,0,NA,0,l,0.09,NA
p07_syllable_1_falubiko_hit,fa,0.25,lu,0.46,bi,0.53,co,0.26,NA,0,b,0.11,NA
p07_syllable_1_faluduako_hit,fa,0.49,lu,0.38,dua,0.59,ko,0.24,NA,0,d,0.17,NA
p07_syllable_1_falufaisto_hit,fa,0.5,lu,0.34,fais,0.79,to,0.25,NA,0,f,0.17,NA
p07_syllable_1_falupiro_hit,fa,0.46,lu,0.38,pi,0.4,ro,0.41,NA,0,p,0.05,NA
p07_syllable_1_falutraigo_hit,fa,0.31,lu,0.27,trai,0.47,go,0.32,NA,0,tr,0.11,NA
p07_syllable_1_flauro_hit,flau,0.5,ro,0.25,NA,0,NA,0,NA,0,fl,0.1,NA
p07_syllable_1_lakabiaisto_hit,la,0.35,ka,0.42,bais,0.9,to,0.24,NA,0,b,0.24,error
p07_syllable_1_lakabuaisto_hit,la,0.42,ka,0.42,buais,0.8,to,0.37,NA,0,b,0.15,NA
p07_syllable_1_lakadiaisto_hit,la,0.44,ka,0.33,dia,0.4,is,0.38,to,0.23,NA,0,extra
p07_syllable_1_lakaduaisto_hit,la,0.46,ka,0.39,duais,0.68,to,0.24,NA,0,d,0.13,NA
p07_syllable_1_lakafiaisto_hit,la,0.39,ka,0.36,fiais,0.59,to,0.2,NA,0,f,0.06,NA
p07_syllable_1_lakafuaisto_hit,la,0.55,ka,0.42,fuais,0.69,to,0.21,NA,0,f,0.06,NA
p07_syllable_1_lakagiaisto_hit,la,0.45,ka,0.36,gais,0.63,to,0.25,NA,0,g,0.08,error
p07_syllable_1_lakaguaisto_hit,la,0.42,ka,0.38,guais,0.85,to,0.25,NA,0,g,0.15,NA
p07_syllable_1_lakakiaisto_hit,la,0.39,ka,0.37,kais,0.56,to,0.26,NA,0,k,0.05,error
p07_syllable_1_lakakuaisto_hit,la,0.52,ka,0.39,kuais,0.76,to,0.3,NA,0,k,0.05,NA
p07_syllable_1_lakapiaisto_hit,la,0.43,ka,0.41,pia,0.49,sto,0.46,NA,0,NA,0,error
p07_syllable_1_lakapuaisto_hit,la,0.49,ka,0.38,puais,0.59,to,0.28,NA,0,p,0.04,NA
p07_syllable_1_lakatiaisto_hit,la,0.41,ka,0.38,tiai,0.48,sto,0.51,NA,0,NA,0,tripthong_sto
p07_syllable_1_lakatuaisto_hit,la,0.51,ka,0.44,tuais,0.62,to,0.2,NA,0,t,0.06,NA
p07_syllable_1_liamo_hit,li,0.46,a,0.4,mo,0.28,NA,0,NA,0,NA,0,extra
p07_syllable_1_lifro_hit,li,0.36,fro,0.41,NA,0,NA,0,NA,0,l,0.09,NA
p07_syllable_1_lliape_hit,lliai,0.65,pe,0.32,NA,0,NA,0,NA,0,ll,0.23,add_vowel
p07_syllable_1_manhiala_hit,ma,0.44,nhia,0.48,la,0.3,NA,0,NA,0,nh,0.11,NA
p07_syllable_1_matio_hit,ma,0.55,ti,0.32,o,0.27,NA,0,NA,0,t,0.03,extra
p07_syllable_1_mebochiana_hit,me,0.48,bo,0.33,chia,0.51,na,0.31,NA,0,ch,0.13,NA
p07_syllable_1_nhiape_hit,nhia,0.49,pe,0.22,NA,0,NA,0,NA,0,nh,0.14,NA
p07_syllable_1_pachialo_hit,pa,0.35,cha,0.51,lo,0.25,NA,0,NA,0,ch,0.13,error
p07_syllable_1_palufago_hit,pa,0.39,lu,0.32,fa,0.46,go,0.29,NA,0,f,0.08,NA
p07_syllable_1_palufasti_hit,pa,0.23,lu,0.33,fas,0.49,ti,0.28,NA,0,f,0.05,NA
p07_syllable_1_palufauro_hit,pa,0.26,lu,0.36,fau,0.44,ro,0.27,NA,0,f,0.07,NA
p07_syllable_1_palufauto_hit,pa,0.43,lu,0.26,fau,0.45,to,0.18,NA,0,f,0.07,NA
p07_syllable_1_paluguato_hit,pa,0.25,lu,0.37,gua,0.43,to,0.26,NA,0,g,0.07,NA
p07_syllable_1_palumaisto_hit,pa,0.4,lu,0.38,mais,0.63,to,0.27,NA,0,m,0.14,NA
p07_syllable_1_paluparo_hit,pa,0.3,lu,0.28,pa,0.38,ro,0.27,NA,0,p,0.06,NA
p07_syllable_1_palutarlo_hit,pa,0.47,lu,0.3,ta,0.42,lo,0.31,NA,0,t,0.06,NA
p07_syllable_1_palutrauco_hit,pa,0.19,lu,0.26,trau,0.41,co,0.15,NA,0,tr,0.05,NA
p07_syllable_1_payielo_hit,pa,0.38,yie,0.47,lo,0.26,NA,0,NA,0,y,0.15,NA
p07_syllable_1_polafo_hit,po,0.31,la,0.5,fo,0.21,NA,0,NA,0,l,0.12,NA
p07_syllable_1_rausto_hit,raus,0.75,to,0.19,NA,0,NA,0,NA,0,r,0.09,NA
p07_syllable_1_ruyiola_hit,ru,0.35,yio,0.55,la,0.39,NA,0,NA,0,y,0.19,NA
p07_syllable_1_tuliafo_hit,tu,0.24,lia,0.45,fo,0.21,NA,0,NA,0,l,0.08,NA
p08_syllable_1_chiaba_hit,chi,0.53,a,0.35,ba,0.35,NA,0,NA,0,NA,0,extra
p08_syllable_1_costonhialo_hit,cos,0.41,to,0.38,nhia,0.35,lo,0.36,NA,0,nh,0.16,NA
p08_syllable_1_crobo_hit,cro,0.54,bo,0.44,NA,0,NA,0,NA,0,cr,0.2,NA
p08_syllable_1_falotro_hit,fa,0.33,lo,0.52,tro,0.35,NA,0,NA,0,l,0.18,NA
